議員氏名,通称名使用議員の本名,議員個人の紹介ページ,読み方,会派,選挙区,任期満了,写真URL,当選年,当選回数,役職等,役職等の時点,経歴,経歴の時点
白坂　亜紀,中山　亜紀,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7023004.htm,しらさか　あき,自民,大分,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7023004.jpg,2023,1,財政金融委員会（理）、議院運営委員会、政治改革に関する特別委員会、東日本大震災復興特別委員会（理）、国民生活・経済及び地方に関する調査会,2025-06-19,昭和41年7月20日大分県竹田市生まれ○早稲田大学第一文学部日本文学専修卒業○平成8年3月8日株式会社白坂企画代表取締役就任。銀座で三店舗飲食店の経営をしながら、銀座ミツバチプロジェクト理事長、女性の会「銀座なでしこ会」代表、一般社団法人銀座社交料飲協会副会長、早稲田大学校友会中央稲門会会長、豊の国特命かぼす大使、大分県竹田市東京事務所長他を務める。また、全国各地で講演活動、イベント出演多数○現在参議院財政金融委員会委員、自民党組織運動本部商工・中小企業関係団体副委員長、女性局次長、広報本部新聞出版局次長○文学士○著書「粋で鯔背なニッポン論」（共著ケント・ギルバート）、「銀座の流儀」,2023-06-02
進藤　金日子,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016022.htm,しんどう　かねひこ,自民,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016022.jpg,2016、2022,2,農林水産委員会、予算委員会（理）、消費者問題に関する特別委員会（理）,2025-06-19,昭和38年7月7日秋田県協和町（現大仙市）に生まれる。昭和61年岩手大学農学部卒業○昭和61年農林水産省入省、在チリ日本国大使館一等書記官、農村振興局整備部水利整備課長補佐、設計課長補佐、熊本県農林水産部農村計画・技術管理課長、関東農政局整備部設計課長、農村振興局整備部設計課海外土地改良技術室長、首席農業土木専門官、農村政策部中山間地域振興課長、平成27年農林水産省辞職○平成28年7月参議院全国比例区より初当選○令和元年9月総務大臣政務官兼内閣府大臣政務官○現在環境委員会筆頭理事、決算委員、東日本大震災復興特別委員○全国土地改良政治連盟顧問、全国水土里ネット会長会議顧問,2022-11-30
榛葉　賀津也,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7001027.htm,しんば　かづや,民主,静岡,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7001027.jpg,2001、2007、2013、2019,4,外交防衛委員会、国家基本政策委員会（理）、政府開発援助等及び沖縄・北方問題に関する特別委員会,2025-06-19,昭和42年4月25日静岡県菊川市生まれ○静岡県立掛川西高等学校卒業後、米国オハイオ州オタバイン大学政治学部及び国際問題研究学部卒業。在学中にイスラエル国立テルアビブ大学に1年間留学。イスラエル国立エルサレム・ヘブライ大学大学院に2年間留学○菊川町議会議員を経て、平成13年第19回参議院議員選挙にて初当選。以降、令和元年第25回参議院議員選挙において4期連続当選○内閣委員長、外交防衛委員長、沖縄及び北方問題に関する特別委員長、政治倫理の確立及び選挙制度に関する特別委員長、図書小委員長、議院運営委員会筆頭理事、外交防衛委員会筆頭理事、予算委員会理事、国家基本政策委員会理事○防衛副大臣（鳩山内閣、菅内閣）、外務副大臣（第3次野田内閣）○参議院党国会対策委員長、参議院党幹事長○現在国民民主党幹事長○お茶振興議員連盟会長、静岡県馬術連盟会長、静岡県野球連盟一級審判員、リアルジャパンプロレス・コミッショナー,2022-11-30
末松　信介,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7004033.htm,すえまつ　しんすけ,自民,兵庫,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7004033.jpg,2004、2010、2016、2022,4,文教科学委員会、決算委員会,2025-06-19,昭和30年12月17日兵庫県神戸市西区生まれ、同54年3月関西学院大学法学部を卒業、同年全日本空輸（ANA）入社、同58年兵庫県議会議員に初当選、以来6期連続当選。平成8年兵庫県議会副議長、同13年自由民主党兵庫県連政務調査会長、同15年自由民主党兵庫県連幹事長、同16年兵庫県議会議員を辞職。第20回参議院議員通常選挙（兵庫県選挙区）に初当選、同18年国土交通委員会筆頭理事、同20年財務大臣政務官、同21年自由民主党兵庫県連会長、同22年行政監視委員長、同24年自由民主党水産部会長、同25年外交防衛委員長、同26年自由民主党幹事長代理、同28年国土交通副大臣・内閣府副大臣・復興副大臣、同29年議院運営委員会筆頭理事、同30年議院運営委員長、令和元年参議院自由民主党国会対策委員長、令和3年文部科学大臣○現在予算委員長、自由民主党兵庫県連会長,2022-11-30
杉　久武,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013028.htm,すぎ　ひさたけ,公明,大阪,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013028.jpg,2013、2019,2,財政金融委員会（理）、決算委員会、東日本大震災復興特別委員会,2025-06-19,昭和51年1月4日大阪市生まれ。私立関西創価小学校・中学校・高等学校を経て、平成10年創価大学経営学部卒業。在学中、公認会計士第2次試験合格。平成10年中央監査法人入所。平成14年公認会計士登録。平成18年米国プライスウォーターハウスクーパース会計事務所駐在。平成19年あらた監査法人入所。平成22年米国公認会計士登録。平成25年税理士登録○平成25年参議院議員初当選。決算委員会理事、議院運営委員会理事、公明党参議院国会対策筆頭副委員長を経て、平成28年財務大臣政務官、令和元年災害対策特別委員長、令和3年予算委員会理事○現在法務委員長、公明党青年委員会副委員長,2022-11-30
杉尾　秀哉,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016023.htm,すぎお　ひでや,立憲,長野,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016023.jpg,2016、2022,2,国土交通委員会、予算委員会（理）、外交・安全保障に関する調査会,2025-06-19,1957年9月30日、福岡県北九州市生まれ。兵庫県立加古川東高校、東京大学文学部社会学科卒。1981年4月、（株）東京放送入社。以来、報道局社会部、政治部などテレビ報道の最前線に従事。1993年4月より「ニュースの森」キャスター就任。その後外信部ワシントン支局長、社会部長などの役職をはさみ「朝ズバ」「ひるおび」「Nスタ」などTBS―JNN系列の報道情報番組等に、報道局解説専門記者室長として多数出演。2015年12月31日付で（株）TBSテレビを退社。TBS在職中は年間200回程度の講演会を開く一方、JF（全漁連）企画委員、日本記者クラブ企画委員、マニフェスト大賞審査委員など数多くの役職をこなした。また、東日本大震災関連のNPO活動や、関西学院大学総合政策学部特別客員教授として後輩の育成にもあたって来た,2022-11-30
鈴木　宗男,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019023.htm,すずき　むねお,無所属,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019023.jpg,2019,1,法務委員会,2025-06-19,昭和23年1月31日北海道足寄町生まれ。昭和45年3月拓殖大学政経学部卒業。在学中から衆議院議員中川一郎先生の秘書を務める、農林水産大臣秘書官、国務大臣科学技術庁長官秘書官。昭和58年12月衆議院議員初当選（8期）、平成元年6月防衛政務次官（3回）、平成2年12月外務政務次官、平成6年9月衆議院沖縄及び北方問題に関する特別委員長、平成9年9月国務大臣北海道・沖縄開発庁長官、平成10年7月内閣官房副長官、平成11年10月自民党総務局長、平成14年1月衆議院議院運営委員長、平成17年8月地域政党新党大地結成、同代表就任、平成21年9月衆議院外務委員長、令和2年9月参議院沖縄及び北方問題に関する特別委員長○現在参議院懲罰委員長、政府開発援助等及び沖縄・北方問題に関する特別委員、法務委員○衆8回（昭58、61、平2、5、8、12、17、21）,2022-11-30
関口　昌一,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7003005.htm,せきぐち　まさかず,無所属,埼玉,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7003005.jpg,2003、2004、2010、2016、2022,5,議長、法務委員会,2025-06-19,昭和28年6月4日、父・恵造（参議院議員2期12年、元埼玉県歯科医師会会長）の長男として秩父郡皆野町に生まれる。日本大学豊山高等学校を経て、城西歯科大学（現明海大学歯学部）卒業後、両親が開業する皆野町の関口歯科医院で地域医療に携わる。埼玉県議会議員3期8年歴任。平成15年10月参議院補欠選挙で初当選、平成16年7月参議院議員通常選挙にて2期目の当選。平成22年7月参議院議員通常選挙にて3期目の当選。平成28年7月参議院議員通常選挙にて4期目の当選。令和4年7月参議院議員通常選挙にて5期目の当選。参議院自民党国会対策委員長、参議院自民党幹事長代行、総務副大臣・内閣府副大臣、参議院自民党国会対策委員長代理、外務大臣政務官、参議院文教科学委員長、参議院自民党副幹事長、参議院自民党政策審議会副会長、自民党経済産業部会長代理等歴任○現在参議院自民党議員会長、日本歯科医師議員連盟会長,2022-11-30
田島　麻衣子,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019024.htm,たじま　まいこ,立憲,愛知,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019024.jpg,2019,1,法務委員会（理）、消費者問題に関する特別委員会、憲法審査会,2025-06-19,昭和51年12月20日東京都生まれ。平成11年青山学院大学国際政治経済学部卒。米国公認会計士の資格取得後、新日本監査法人に入社。多国籍企業の監査や独法の業務効率化を担当。平成15年NGO　JENに参加。イラク戦争難民のヘルスケア支援に従事。平成17年英オックスフォード大学院にて国際開発・人道支援の分野で修士号取得。平成18年国連世界食糧計画（WFP）入所。平成19年より同ラオス事務所にて貧困で教育の機会を奪われた子どもたちとその家族を支援する学校給食プログラムを主導。平成23年同イタリア本部で人道支援の効果測定を担当し、その後アルメニアにてテレワークで同機関全体の予算編成を担当。平成29年同カイロ中東地域事務所勤務後、同ヨハネスブルグ南アフリカ地域事務所にて地域モニタリングアドバイザーを務める等10年以上国連職員として人道支援の最前線に立つ○著書「世界で働くひとになる」他,2022-11-30
田中　昌史,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7023001.htm,たなか　まさし,自民,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7023001.jpg,2023,1,経済産業委員会、議院運営委員会、消費者問題に関する特別委員会、国民生活・経済及び地方に関する調査会（理）、憲法審査会,2025-06-19,昭和40年10月11日北海道札幌市生まれ○昭和62年3月清恵会第二医療専門学院卒業、理学療法士免許取得、河内総合病院など医療現場で臨床業務従事○平成7年3月北海道千歳リハビリテーション学院、平成15年2月同理学療法学科長、平成17年4月社会福祉法人千歳いずみ学園評議員、平成19年4月北海道理学療法士連盟会長、社会福祉法人晃裕会評議員、平成21年3月日本理学療法士連盟副会長、平成22年3月北翔大学大学院人間福祉学研究科人間福祉学専攻修了（修士）、平成24年3月日本理学療法士連盟会長、平成29年4月北海道千歳リハビリテーション学院副学院長、平成29年5月日本理学療法士協会事務次長、平成29年6月日本理学療法士協会理事、令和3年6月日本理学療法士協会事業部長○令和元年7月第25回参議院議員選挙で落選、令和5年1月繰上げ当選,2023-02-24
田名部　匡代,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016025.htm,たなぶ　まさよ,立憲,青森,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016025.jpg,2016、2022,2,農林水産委員会（理）、東日本大震災復興特別委員会、情報監視審査会,2025-06-19,昭和44年7月10日、青森県八戸市生まれ。青森県立八戸東高等学校を経て、平成2年玉川学園女子短期大学卒業。衆議院議員秘書を経た後、南部山アリーナに勤務。平成12年衆議院議員選に臨むも惜敗、平成15年衆議院議員初当選、その後平成17年、平成21年と当選を果たす。衆議院厚生労働委員会委員、環境委員会委員、青少年問題特別委員会委員、農林水産委員会筆頭理事。平成22年農林水産大臣政務官に就任。東日本大震災被災地の農林水産業の復興、和食のユネスコ無形文化遺産登録の実現に取り組む○現在党参議院幹事長、農林水産委員会委員、行政監視委員会理事,2022-11-30
田村　まみ,田村　麻美,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019025.htm,たむら　まみ,民主,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019025.jpg,2019,1,厚生労働委員会、予算委員会、消費者問題に関する特別委員会,2025-06-19,1976年4月23日生まれ。広島県広島市出身、広島女学院中学校、広島女学院高等学校を経て、1999年同志社大学神学部卒業。同年ジャスコ株式会社（現イオンリテール株式会社）へ入社。初任地の岡山県児島店をはじめに10店舗に勤務、2006年10月イオン労働組合（イオンリテールワーカーズユニオン）中央執行委員、2011年UIゼンセン同盟岐阜県支部運営評議会評議員をはじめ、東海エリア各所で支部運営評議会評議員として活動。2016年UAゼンセン政策委員会委員（女性枠）、2017年UAゼンセン政策グループ政治局員,2022-11-30
大門　実紀史,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7001001.htm,だいもん　みきし,共産,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7001001.jpg,2001、2004、2010、2016、2024,5,国土交通委員会、予算委員会、消費者問題に関する特別委員会,2025-06-19,1956年1月10日京都市北区紫野生まれ。京都市立日吉ケ丘高校卒。神戸大学中退。東京土建本部書記長、全建総連中央執行委員、建設首都圏共闘会議議長を歴任の後、1998年参議院選挙に立候補するも次点。2001年1月繰り上げ当選。2004年参院選、2010年参院選、2016年参院選に連続当選。2022年参院選で次点。2024年10月繰り上げ当選。予算委員会、財政金融委員会、消費者問題特別委員会などに所属。主に経済問題、金融問題、中小企業問題に取り組む○現在党中央委員会政策委員会副委員長、党中央委員○著書「属国ニッポン経済版」「新自由主義の犯罪」「ルールある経済ってなに」「カジノミクス」「やさしく強い経済学」他、雑誌等に論文多数,2024-12-04
高木　かおり,高木　佳保里,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7016026.htm,たかぎ　かおり,維新,大阪,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7016026.jpg,2016、2022,2,総務委員会、議院運営委員会（理）、東日本大震災復興特別委員会、国民生活・経済及び地方に関する調査会,2025-06-19,昭和47年10月10日生まれ。大阪府堺市出身。大阪府立三国丘高校卒業。京都女子大学家政学部卒業後、三菱信託銀行（現三菱UFJ信託銀行）に勤務○平成23年4月堺市議会議員に初当選し、平成27年4月2期目当選。母親の視点から教育の無償化や子育て問題に取り組んでいる。また、どの世代でも学び直しができる必要性を訴えリカレント教育を推進○平成28年大阪府選挙区より参議院議員通常選挙において初当選,2022-11-30
高木　真理,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022023.htm,たかぎ　まり,立憲,埼玉,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022023.jpg,2022,1,厚生労働委員会、予算委員会、地方創生及びデジタル社会の形成等に関する特別委員会、外交・安全保障に関する調査会（理）,2025-06-19,1967年8月12日、栃木県日光市生まれ。浦和市立（現・さいたま市立）常盤中学校、お茶の水女子大学附属高等学校、東京大学法学部卒業。東京銀行（現・三菱UFJ銀行）勤務、衆議院議員枝野幸男秘書を経て、2003年4月、さいたま市議会議員（北区）初当選、以後2期連続当選。2011年埼玉県議会議員（さいたま市北区）初当選、以後3期連続当選。党県連政調会長。県議会会派政調会長。2022年参議院選挙において、埼玉県選挙区より初当選○現在党県連副代表。党埼玉県参議院選挙区第2総支部長,2022-11-30
高橋　克法,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013030.htm,たかはし　かつのり,自民,栃木,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013030.jpg,2013、2019,2,国土交通委員会、国家基本政策委員会、政府開発援助等及び沖縄・北方問題に関する特別委員会,2025-06-19,昭和32年12月7日栃木県塩谷郡高根沢町生まれ○栃木県立宇都宮東高等学校を経て、昭和56年3月明治大学法学部法律学科卒業○卒業後、日本電子工学株式会社（北綜警グループ）入社。昭和60年参議院議員岩崎純三公設秘書になる○平成8年12月栃木県議会議員当選○平成10年8月現職町長の急逝により高根沢町長選挙に出馬し当選、以降平成25年3月まで連続4期15年間在職○平成25年7月第23回参議院議員通常選挙栃木県選挙区にて初当選○党国対副委長、予算委理事等、要職を担い、平成29年8月国土交通大臣政務官に就任○令和元年7月「地方を守り抜く」ことを公約に参院選を戦い、2期目の当選を果たす○党副幹事長、議運委次席理事、党国対筆頭副委員長を経て、令和4年10月文教科学委員長に就任,2022-11-30
高橋　次郎,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7024003.htm,たかはし　じろう,公明,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7024003.jpg,2024,1,環境委員会、議院運営委員会、消費者問題に関する特別委員会、資源エネルギー・持続可能社会に関する調査会,2025-06-19,昭和42年8月19日、埼玉県入間市生まれ。県立所沢北高校を経て、昭和61年、私立創価大学入学。平成2年3月、同大学卒業○平成2年4月、公明新聞に入社。中部支局、文化部を経て、写真部へ配属。同7年阪神・淡路大震災、同12年北海道・有珠山噴火、同23年東日本大震災、同28年熊本地震などで被災地に駆けつけ、第一線で取材に当たる。また、党派遣団の一員として、同13年にパキスタンでアフガニスタン難民キャンプを調査。同15年イラク戦争直後の傷跡残るイラン・イラク、同16年自衛隊が駐屯するイラク・サマワを現地取材。同18年にインドネシア・ジャワ島で発生した大地震、同22年のハイチ大地震の状況把握など海外取材にも従事してきた。同29年公明グラフ編集部長、令和4年から写真部長も兼務し、同6年に退社○令和6年10月22日、参議院議員に繰り上げ当選○現在環境委員会委員、消費者問題特別委員会委員,2024-12-04
高橋　はるみ,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019026.htm,たかはし　はるみ,自民,北海道,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019026.jpg,2019,1,国土交通委員会、決算委員会、政府開発援助等及び沖縄・北方問題に関する特別委員会、資源エネルギー・持続可能社会に関する調査会,2025-06-19,昭和29年1月6日富山市生まれ。昭和51年3月一橋大学経済学部を卒業、同年4月通商産業省に入省。平成12年中小企業庁経営支援部経営支援課長、同13年北海道経済産業局長、同14年経済産業研修所長、同15年退職。同15年4月北海道知事に初当選し同31年4月に退任するまで連続4期務める。令和元年7月の第25回参議院通常選挙において、北海道選挙区から初当選○現在予算委員会理事、ODA及び沖縄・北方問題に関する特別委員会理事、文教科学委員会委員,2022-11-30
高橋　光男,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019027.htm,たかはし　みつお,公明,兵庫,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019027.jpg,2019,1,農林水産委員会、政治改革に関する特別委員会、外交・安全保障に関する調査会（理）,2025-06-19,昭和52年2月15日兵庫県宝塚市生まれ○平成12年大阪外国語大学（現大阪大学）在学中に外務省専門職試験に合格し中退○平成13年外務省入省○在アンゴラ日本大使館三等書記官、在リオデジャネイロ日本総領事館副領事、語学指導官補佐（ポルトガル語）、在ブラジル日本大使館一等書記官など歴任。主に国際協力、アフリカ開発、投資協定（モザンビーク）を担当○ポルトガル語通訳担当官として総理通訳などを務めた○令和元年参議院議員選挙（兵庫選挙区）に初当選○令和3年中央大学法学部卒業○公明党青年委員会副委員長、学生局長代理、国際局次長、労働局次長○現在参議院国土交通委員会理事、同決算委員会委員、同外交・安全保障に関する調査会委員○著書『世界を駆けた、確かなチカラ』（潮出版社）,2022-11-30
高良　鉄美,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7019028.htm,たから　てつみ,沖縄,沖縄,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7019028.jpg,2019,1,外交防衛委員会、政府開発援助等及び沖縄・北方問題に関する特別委員会、憲法審査会,2025-06-19,1954年1月15日沖縄県那覇市生まれ。那覇市立松川小学校、那覇市立真和志中学校、琉球政府立那覇高校、九州大学法学部を卒業。九州大学大学院博士課程単位取得満期退学。1988年琉球大学法文学部助教授、バージニア大学ロースクール客員研究員を経て、1995年琉球大学法文学部教授、2004年琉球大学法科大学院教授、2007年琉球大学法科大学院院長、2019年琉球大学名誉教授。オール沖縄会議顧問。2019年参議院議員選挙において沖縄県選挙区から初当選○現在外交防衛委員、沖縄の風幹事長○著書「沖縄から見た平和憲法―万人（うまんちゅ）が主役」ほか,2022-11-30
滝沢　求,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013031.htm,たきさわ　もとめ,自民,青森,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013031.jpg,2013、2019,2,外交防衛委員会（長）、行政監視委員会、東日本大震災復興特別委員会,2025-06-19,昭和33年10月11日、青森県八戸市生まれ。八戸市立長者小学校、同長者中学校、青森県立八戸高等学校を経て、中央大学法学部入学。昭和58年卒業。衆議院議員中曽根康弘秘書を経て、平成10年、青森県議会議員に初当選。以降連続5期当選。県議会副議長。平成25年7月、青森県選挙区より参議院議員に初当選、参議院環境委員会筆頭理事、自民党組織本部団体総局環境関係団体委員長、平成28年8月外務大臣政務官、自民党環境・国土交通部会長代理、副幹事長、広報副本部長、環境部会長、環境温暖化対策調査会副会長○現在参議院環境委員長,2022-11-30
滝波　宏文,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013032.htm,たきなみ　ひろふみ,自民,福井,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013032.jpg,2013、2019,2,農林水産委員会、国家基本政策委員会、資源エネルギー・持続可能社会に関する調査会,2025-06-19,昭和46年10月20日福井県生まれ。福井県立大野高校・東京大学法学部卒。シカゴ大院修了、公共政策学修士（MPP）。早稲田大院修了、博士（PhD）。米国公認会計士。平成6年大蔵省入省。約20年の中央省庁勤務の間、内閣参事官補佐や、財務省の主計局主査、人事企画室長、広報室長など歴任。スタンフォード大学客員研究員も務める。平成24年末財務省退官、ふるさと福井に戻り、25年参議院議員初当選。令和元年再選。経産大臣政務官、総務委／経産委／資源エネルギー調査会　筆頭理事、予算委理事、党　原子力規制特委幹事長、税制調査会幹事、青年局長代理、経産部会長代理、財金／環境／国交副部会長、参院党国対副委員長、政審副会長等歴任○現在拉致問題特委筆頭理事、党水産部会長、農林調査会幹事、与党新幹線PT委員、恐竜議連／障害児者情報コミュニケーション議連／「あなたの街にも国宝を」議連／最新型原子力リプレース議連　事務局長。信条は、勤勉・正直・感謝,2022-11-30
竹内　真二,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7017001.htm,たけうち　しんじ,公明,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7017001.jpg,2017、2022,2,経済産業委員会、国民生活・経済及び地方に関する調査会,2025-06-19,昭和39年3月19日生まれ。東京都葛飾区出身。昭和63年早稲田大学政治経済学部政治学科を卒業。同年公明新聞入社。社会部、関西支局、学芸部、論説部、政治部などに所属し、政治部時代は、国政の最前線で取材活動に従事した。党代表団の一員として、平成16年、19年、25年に中国を、同22年に韓国を訪問。同25年政治部長に就任。同27年編集局次長を務め、同29年に退社。同年10月13日参議院議員に繰り上げ当選○党役職・組織委員会遊説局長、団体渉外委員会団体局次長、政務調査会文部科学部会副部会長、内閣部会副部会長、千葉県本部副代表他○現在参議院文教科学委員会委員、行政監視委員会委員、北朝鮮による拉致問題等に関する特別委員会理事、国民生活・経済及び地方に関する調査会理事,2022-11-30
竹詰　仁,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7022024.htm,たけづめ　ひとし,民主,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7022024.jpg,2022,1,内閣委員会、決算委員会、東日本大震災復興特別委員会、資源エネルギー・持続可能社会に関する調査会（理）,2025-06-19,昭和44年2月6日、山形県東村山郡山辺町生まれ。平成3年3月、慶應義塾大学経済学部卒業。平成3年4月、東京電力株式会社入社、平成9年、本店企画部調査グループ主任を経て、平成13年、東京電力労働組合本店総支部書記長となる。平成15年、全国電力総連執行委員、平成17年、外務省に出向し、在タイ日本大使館一等書記官就任。平成20年、日本労働組合総連合（連合）生活福祉局次長・国際局長・経済政策局長、平成27年、関東電力総連事務局長、翌28年、東京電力労働組合中央書記長となる。令和元年、同組合中央執行委員長、関東電力総連会長、全国電力総連副会長を歴任。令和4年7月、参議院選挙で初当選,2022-11-30
竹谷　とし子,菊地　とし子,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7010033.htm,たけや　としこ,公明,東京,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7010033.jpg,2010、2016、2022,3,内閣委員会（理）、決算委員会、東日本大震災復興特別委員会（理）,2025-06-19,1969年北海道標津町生まれ。創価大学卒。公認会計士。税理士、行政書士。監査法人、IT系コンサルティング会社執行役員を経て、10年東京選挙区から初当選。女性国会議員唯一の公認会計士として特別会計の積立金見直しで年700億円超の税のムダ削減や、国連のSDGsで言及された食品ロス・廃棄を削減し、あわせてフードバンクを支援するための「食品ロス削減推進法」成立を推進○財務大臣政務官、参院災害対策特別委員長、総務委員長、法務委員長等を歴任○現在復興副大臣、党女性局長、党都本部副代表、食品ロス削減及びフードバンク支援を推進する議員連盟事務局長,2022-11-30
武見　敬三,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/5995043.htm,たけみ　けいぞう,自民,東京,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g5995043.jpg,1995、2001、2012、2013、2019,5,環境委員会、懲罰委員会,2025-06-19,1951年11月5日東京都港区生まれ。74年慶應義塾大学法学部政治学科卒業、76年同大学法学研究科修士課程修了、法学修士取得。80年東海大学政治経済学部政治学科助手、87年助教授、95年教授就任。同年参議院議員に初当選。現在5期目。84年～87年、テレビ朝日CNNデイウォッチ、モーニングショーのキャスターを務める。現在、自民党コロナ対策本部長代理、国際保健戦略特別委員長、日本国際交流センターシニアフェロー、長崎大学、身延山大学客員教授。外務政務次官、参議院外交防衛委員長、厚生労働副大臣を歴任。国連事務総長の下で国連保健従事者の雇用と経済成長に関するハイレベルパネル委員、国連制度改革委員会委員、同じく母子保健改善のための委員会委員、世界保健機関（WHO）研究開発資金専門家委員会委員を務め、2019年WHO親善大使に就任。2007年から2009年までハーバード大学公衆衛生大学院研究員,2022-11-30
谷合　正明,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7004036.htm,たにあい　まさあき,公明,比例,2028-07-25,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7004036.jpg,2004、2010、2016、2022,4,法務委員会、国家基本政策委員会、憲法審査会（幹）,2025-06-19,昭和48年4月27日、埼玉県新座市生まれ。岡山市在住。私立創価高校を経て、京都大学、同大学院修士課程修了（農林経済）。在学中に、スウェーデン・ウプサラ大学に交換留学○平成11年ODA開発コンサルタント会社、平成12年より国際医療NGOのAMDAに勤務。公設国際貢献大学校の上席研究員、平成20年～21年経済産業大臣政務官、平成22年～23年参院消費者問題特別委員長、平成26年～28年参院総務委員長、平成29年～30年農林水産副大臣○現在参院法務委、倫理選挙特委各理事、国家基本政策委、政治倫理審査会各委員、公明党幹事長代理、参議院幹事長、広報委員長、中国方面本部長、岡山県本部代表○著書「境界線のない空の下」、「人道の国・日本を目指して―難民に寄り添い17年」,2022-11-30
柘植　芳文,,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/profile/7013034.htm,つげ　よしふみ,自民,比例,2025-07-28,https://www.sangiin.go.jp/japanese/joho1/kousei/giin/photo/g7013034.jpg,2013、2019,2,厚生労働委員会（長）、決算委員会,2025-06-19,昭和20年10月11日岐阜県恵那市生まれ。昭和47年愛知大学卒業。郵便局、郵政局に勤務し、平成21年全国郵便局長会会長に就任。平成24年全国郵便局長会顧問。平成25年参議院議員に初当選し、同27年自民党副幹事長、同29年9月参議院環境委員長、同30年5月参議院内閣委員長、令和元年9月自由民主党人事局長、同元年10月参議院内閣委理事、参議院国際経済・外交に関する調査会理事、令和2年10月自由民主党総務会副会長,2022-11-30
